cell_type,comparison,condition_a,condition_b,metric,gene_set,n_genes,similarity,n_cells_a,n_cells_b,low_cell_count_warning,expression_source
Cones,Control_vs_NMDA,Control,NMDA,spearman,hvg_500,500,0.8001468061743506,10127,424,False,raw.X
Cones,Control_vs_NMDA,Control,NMDA,cosine,hvg_500,500,0.5462760329246521,10127,424,False,raw.X
Cones,LD_vs_NMDA,LD,NMDA,pearson,hvg_500,500,0.9644194626154181,372,424,False,raw.X
Cones,LD_vs_NMDA,LD,NMDA,spearman,hvg_500,500,0.9022890874730576,372,424,False,raw.X
Cones,LD_vs_NMDA,LD,NMDA,cosine,hvg_500,500,0.9655590057373047,372,424,False,raw.X
Cones,Control_vs_LD,Control,LD,pearson,hvg_1000,1000,0.4502052584851653,10127,372,False,raw.X
Cones,Control_vs_LD,Control,LD,spearman,hvg_1000,1000,0.7790520578507054,10127,372,False,raw.X
Cones,Control_vs_LD,Control,LD,cosine,hvg_1000,1000,0.49646201729774475,10127,372,False,raw.X
Cones,Control_vs_NMDA,Control,NMDA,pearson,hvg_1000,1000,0.509752812938276,10127,424,False,raw.X
Cones,Control_vs_NMDA,Control,NMDA,spearman,hvg_1000,1000,0.8099469120312082,10127,424,False,raw.X
Cones,Control_vs_NMDA,Control,NMDA,cosine,hvg_1000,1000,0.5601108074188232,10127,424,False,raw.X
Cones,LD_vs_NMDA,LD,NMDA,pearson,hvg_1000,1000,0.9731844562058608,372,424,False,raw.X
Cones,LD_vs_NMDA,LD,NMDA,spearman,hvg_1000,1000,0.896947727798896,372,424,False,raw.X
Cones,LD_vs_NMDA,LD,NMDA,cosine,hvg_1000,1000,0.9742675423622131,372,424,False,raw.X
Cones,Control_vs_LD,Control,LD,pearson,hvg_2000,2000,0.541230543545368,10127,372,False,raw.X
Cones,Control_vs_LD,Control,LD,spearman,hvg_2000,2000,0.7684222012639511,10127,372,False,raw.X
Cones,Control_vs_LD,Control,LD,cosine,hvg_2000,2000,0.5771092772483826,10127,372,False,raw.X
Cones,Control_vs_NMDA,Control,NMDA,pearson,hvg_2000,2000,0.5940682572080135,10127,424,False,raw.X
Cones,Control_vs_NMDA,Control,NMDA,spearman,hvg_2000,2000,0.8117424902394585,10127,424,False,raw.X
Cones,Control_vs_NMDA,Control,NMDA,cosine,hvg_2000,2000,0.6306701302528381,10127,424,False,raw.X
Cones,LD_vs_NMDA,LD,NMDA,pearson,hvg_2000,2000,0.9713049539013484,372,424,False,raw.X
