cell_type,comparison,condition_a,condition_b,metric,gene_set,n_genes,similarity
Cones,Control_vs_LD,Control,LD,cosine,hvg_2000,2000,0.8494818210601807
Cones,Control_vs_NMDA,Control,NMDA,pearson,hvg_2000,2000,0.853857552799063
Cones,Control_vs_NMDA,Control,NMDA,spearman,hvg_2000,2000,0.7853002634365358
Cones,Control_vs_NMDA,Control,NMDA,cosine,hvg_2000,2000,0.8636451363563538
HC,Control_vs_LD,Control,LD,pearson,hvg_2000,2000,0.8215452959648522
HC,Control_vs_LD,Control,LD,spearman,hvg_2000,2000,0.7402830347977319
HC,Control_vs_LD,Control,LD,cosine,hvg_2000,2000,0.8326414823532104
HC,Control_vs_NMDA,Control,NMDA,pearson,hvg_2000,2000,0.8076144088347434
HC,Control_vs_NMDA,Control,NMDA,spearman,hvg_2000,2000,0.7604542604451662
HC,Control_vs_NMDA,Control,NMDA,cosine,hvg_2000,2000,0.8216614127159119
MG,Control_vs_LD,Control,LD,pearson,hvg_2000,2000,0.8570351536163063
MG,Control_vs_LD,Control,LD,spearman,hvg_2000,2000,0.8034704418027139
MG,Control_vs_LD,Control,LD,cosine,hvg_2000,2000,0.8697152137756348
MG,Control_vs_NMDA,Control,NMDA,pearson,hvg_2000,2000,0.8606537882977786
MG,Control_vs_NMDA,Control,NMDA,spearman,hvg_2000,2000,0.8031507363281355
MG,Control_vs_NMDA,Control,NMDA,cosine,hvg_2000,2000,0.8738647699356079
MGPC,Control_vs_LD,Control,LD,pearson,hvg_2000,2000,0.6699041503583291
MGPC,Control_vs_LD,Control,LD,spearman,hvg_2000,2000,0.7573025320081215
MGPC,Control_vs_LD,Control,LD,cosine,hvg_2000,2000,0.7022270560264587
MGPC,Control_vs_NMDA,Control,NMDA,pearson,hvg_2000,2000,0.6933328038747801
MGPC,Control_vs_NMDA,Control,NMDA,spearman,hvg_2000,2000,0.7896273320088089
MGPC,Control_vs_NMDA,Control,NMDA,cosine,hvg_2000,2000,0.7266706228256226
PR precursors,Control_vs_LD,Control,LD,pearson,hvg_2000,2000,0.7185285183532027
PR precursors,Control_vs_LD,Control,LD,spearman,hvg_2000,2000,0.7259931336486636
PR precursors,Control_vs_LD,Control,LD,cosine,hvg_2000,2000,0.7372585535049438
PR precursors,Control_vs_NMDA,Control,NMDA,pearson,hvg_2000,2000,0.7486880758148127
PR precursors,Control_vs_NMDA,Control,NMDA,spearman,hvg_2000,2000,0.7679940896316935
PR precursors,Control_vs_NMDA,Control,NMDA,cosine,hvg_2000,2000,0.7656019330024719
RGC,Control_vs_LD,Control,LD,pearson,hvg_2000,2000,0.8179412680915402
RGC,Control_vs_LD,Control,LD,spearman,hvg_2000,2000,0.8167016239675418
RGC,Control_vs_LD,Control,LD,cosine,hvg_2000,2000,0.8545265793800354
RGC,Control_vs_NMDA,Control,NMDA,pearson,hvg_2000,2000,0.8337573927358299
RGC,Control_vs_NMDA,Control,NMDA,spearman,hvg_2000,2000,0.8371766492784172
RGC,Control_vs_NMDA,Control,NMDA,cosine,hvg_2000,2000,0.8673266768455505
Rod,Control_vs_LD,Control,LD,pearson,hvg_2000,2000,0.6936813709880878
Rod,Control_vs_LD,Control,LD,spearman,hvg_2000,2000,0.7216981345788887
Rod,Control_vs_LD,Control,LD,cosine,hvg_2000,2000,0.730517566204071
Rod,Control_vs_NMDA,Control,NMDA,pearson,hvg_2000,2000,0.3970779181688483
Rod,Control_vs_NMDA,Control,NMDA,spearman,hvg_2000,2000,0.7155491583066348
Rod,Control_vs_NMDA,Control,NMDA,cosine,hvg_2000,2000,0.4737677276134491
