cell_type,condition,metric,gene_set,n_cells,mean_fidelity,median_fidelity,std_fidelity
MGPC,Control_heldout,pearson,hvg_1000,455,0.5062035477463592,0.5028699528401724,0.0817077270712868
MGPC,Control_heldout,spearman,hvg_1000,455,0.3193997217539501,0.3125363666443051,0.05752849179308706
MGPC,LD,cosine,hvg_1000,1743,0.4753199495090691,0.47914533752731436,0.036670581900991345
MGPC,LD,pearson,hvg_1000,1743,0.44129392650782234,0.44846697287969145,0.04535114190280744
MGPC,LD,spearman,hvg_1000,1743,0.271736178750424,0.2685904256247699,0.043487612082848646
MGPC,NMDA,cosine,hvg_1000,2273,0.46982816995309457,0.4758988797017629,0.05071872545813186
MGPC,NMDA,pearson,hvg_1000,2273,0.4322575353700245,0.4467102676802973,0.06371452012630588
MGPC,NMDA,spearman,hvg_1000,2273,0.2660318780204154,0.2610406605962805,0.04687001432297521
PR precursors,Control_heldout,cosine,hvg_1000,353,0.597768206571647,0.598033442915416,0.04972368118988599
PR precursors,Control_heldout,pearson,hvg_1000,353,0.5562735199618304,0.5566437096760852,0.05922659699416876
PR precursors,Control_heldout,spearman,hvg_1000,353,0.34146376424393243,0.3233059925864706,0.07204757166268329
PR precursors,LD,cosine,hvg_1000,1619,0.5558260256387361,0.559213466725231,0.03493297903083135
PR precursors,LD,pearson,hvg_1000,1619,0.5373407838830054,0.5409264626024493,0.04068721724466272
PR precursors,LD,spearman,hvg_1000,1619,0.2589026937375252,0.25812788560704136,0.026884428850253446
PR precursors,NMDA,cosine,hvg_1000,2140,0.5574171163236357,0.5598047117189879,0.03706127877121409
PR precursors,NMDA,pearson,hvg_1000,2140,0.5382454542505981,0.5416551510967464,0.043585459785710434
PR precursors,NMDA,spearman,hvg_1000,2140,0.2568535702736355,0.25283065162437185,0.035155459225778105
RGC,Control_heldout,cosine,hvg_1000,1290,0.5563703722598439,0.5570717837090615,0.05966657224633514
RGC,Control_heldout,pearson,hvg_1000,1290,0.49397148529938356,0.4971213376321204,0.062209108470848574
RGC,Control_heldout,spearman,hvg_1000,1290,0.37817958231958937,0.37388348149799755,0.05285778926268475
